상품명,가격,별점,리뷰 수,스펙,상품 상세 URL
LG전자 2026 그램14 14ZD95U-GX56K 표준노트북,1518990,,3,LG전자 2026 그램14 14ZD95U-GX56K 표준노트북 / AI노트북/ 35.5cm(14인치)/ 1.12kg/ 최대 28시간/ OS미포함(프리도스)/ / [화면] 해상도: 1920x1200(WUXGA)/ 밝기: 350nit/ / [CPU] AMD/ 라이젠AI 5/435 (4.5GHz)/ NPU: 50TOPS/ / [그래픽] 내장그래픽/Radeon 840M/ 4core/ / SSD 256GB / SSD 512GB,https://prod.danawa.com/info/?pcode=103448942&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
MSI GF시리즈 소드 GF76 A AI B8VF-R7 WIN11 32GB램,1460000,4.9,7687,MSI GF시리즈 소드 GF76 A AI B8VF-R7 WIN11 32GB램 / 노트북/ 43.9cm(17.3인치)/ 2.7kg/ 윈도우11(설치)/ / [화면] 해상도: 1920x1080(FHD)/ 밝기: 250nit/ 주사율: 144Hz/ / [CPU] AMD/ 라이젠7(Zen4)/ 8845HS (3.8GHz)/ NPU: 16TOPS/ / [그래픽] 외장그래픽/ RTX4060/ TGP: 105W/ / SSD 512GB,https://prod.danawa.com/info/?pcode=50127506&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=11252476
LG전자 울트라PC 15U50T-GA5HK,759860,4.7,47119,노트북/ 39.6cm(15.6인치)/ 1.7kg/ 윈도우11홈/ / [화면] 해상도: 1920x1080(FHD)/ / [CPU] 인텔/ 코어i5-13세대/ i5-1334U (1.3GHz)/ / [그래픽] 내장그래픽/UHD Graphics/ / 최고의 노트북 배터리 관리는 '스마트'한 습관입니다! / SSD 256GB / SSD 512GB,https://prod.danawa.com/info/?pcode=70335374&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
LG전자 2025 그램 프로16 16Z90TS-GS5CK,1709000,4.8,488,LG전자 2025 그램 프로16 16Z90TS-GS5CK / AI노트북/ 40.6cm(16인치)/ 1.199kg/ 최대 25.5시간/ 윈도우11홈/ / [화면] 해상도: 2560x1600(WQXGA)/ 밝기: 400nit/ 주사율: 144Hz/ / [CPU] 인텔/ 코어 울트라5(S2)/ 226V (4.5GHz)/ NPU: 40TOPS/ / [그래픽] 내장그래픽/Arc 130V/ 7core/ / SSD 256GB / SSD 512GB,https://prod.danawa.com/info/?pcode=78528251&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
LG전자 2026 그램 프로16 16Z95U-GS5WK 이벤트,1921020,,2026,LG전자 2026 그램 프로16 16Z95U-GS5WK 이벤트 / AI노트북/ 40.6cm(16인치)/ 1.199kg/ 최대 27시간/ 윈도우11홈/ / [화면] 해상도: 2560x1600(WQXGA)/ 주사율: 144Hz/ / [CPU] AMD/ 라이젠AI 5/435 (4.5GHz)/ NPU: 50TOPS/ / [그래픽] 내장그래픽/Radeon 840M/ 4core/ / 신소재 탑재한 2026 그램 총정리 / SSD 512GB,https://prod.danawa.com/info/?pcode=103451483&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
ASUS TUF Gaming A14 FA401UM-RG007,1830000,4.9,144010077260325060,노트북/ 35.56cm(14인치)/ 1.46kg/ OS미포함(프리도스)/ / [화면] 해상도: 2560x1600(WQXGA)/ 밝기: 400nit/ 주사율: 165Hz/ / [CPU] AMD/ 라이젠7(Zen4)/260 (5.1GHz)/ NPU: 16TOPS/ / [그래픽] 외장그래픽/ RTX5060/ TGP: 105W/ / ASUS TUF A14 FA401UM-RG007 라이젠7-260/32GB/RTX5060 QHD 노트북 리뷰 합니다. / SSD 512GB,https://prod.danawa.com/info/?pcode=92886116&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
ASUS Gaming V16 V3607VH-RP005,1179000,4.7,474,노트북/ 40.6cm(16인치)/ 1.95kg/ OS미포함(프리도스)/ / [화면] 해상도: 1920x1200(WUXGA)/ 밝기: 300nit/ 주사율: 144Hz/ / [CPU] 인텔/ 코어5/210H (4.8GHz)/ / [그래픽] 외장그래픽/ RTX5050/ / SSD 512GB,https://prod.danawa.com/info/?pcode=93014807&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
에이서 프레데터 헬리오스 네오 16 AI PHN16-73-9797,2949000,5.0,502,노트북/ 40.6cm(16인치)/ 2.45kg/ 최대 6.5시간/ OS미포함(프리도스)/ / [화면] 해상도: 2560x1600(WQXGA)/ 밝기: 500nit/ 주사율: 240Hz/ / [CPU] 인텔/ 코어 울트라9(S2)/275HX (5.4GHz)/ NPU: 13TOPS/ / [그래픽] 외장그래픽/ RTX5070 Ti/ TGP: 140W/,https://prod.danawa.com/info/?pcode=94028711&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
LG전자 2026 그램15 15ZD95U-GX56K,1548990,,,LG전자 2026 그램15 15ZD95U-GX56K / AI노트북/ 39.6cm(15.6인치)/ 1.29kg/ 최대 32시간/ OS미포함(프리도스)/ / [화면] 해상도: 1920x1080(FHD)/ 밝기: 350nit/ / [CPU] AMD/ 라이젠AI 5/435 (4.5GHz)/ NPU: 50TOPS/ / [그래픽] 내장그래픽/Radeon 840M/ 4core/ / SSD 256GB / SSD 512GB,https://prod.danawa.com/info/?pcode=103451750&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
삼성전자 갤럭시북4 NT750XGR-A51A WIN11,1087000,4.8,48134,노트북/ 39.6cm(15.6인치)/ 1.55kg/ 윈도우11(설치)/ / [화면] 해상도: 1920x1080(FHD)/ / [CPU] 인텔/ 코어i5-13세대/ i5-1335U (1.3GHz)/ / [그래픽] 내장그래픽/Iris Xe/ / 최고의 노트북 배터리 관리는 '스마트'한 습관입니다! / SSD 256GB / SSD 500GB,https://prod.danawa.com/info/?pcode=44762513&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
